train accuracy,eval accuracy,train loss,eval loss
0,1,0.981914401,1.008914232
0,2,0.881003499,1.049469113
0,3,0.918110013,1.137739301
0,4,0.878534496,1.027530909
0,5,0.901396573,0.966690004
0,6,0.861203134,1.016250253
0,7,0.901278973,1.001541018
0,8,0.851140559,0.973958075
0,9,0.85382396,1.020545363
0,10,0.809836924,0.901899576
0,11,0.846882164,1.043372989
0,12,0.862736762,0.941661537
0,13,0.808585882,1.001586914
0,14,0.836878061,1.019650817
0,15,0.829924643,0.989133954
0,16,0.883794785,0.986572206
0,17,0.820078433,1.059809089
0,18,0.857224047,0.987163067
0,19,0.854556024,1.054403305
0,20,0.817362368,1.023839474
0,21,0.774986267,1.046699166
0,22,0.839379668,1.107823968
0,23,0.854940474,1.056083083
0,24,0.828762352,1.063901901
0,25,0.846739113,1.047984242
0,26,0.837016523,1.024906516
0,27,0.873422027,1.018715143
0,28,0.839735448,1.050049901
0,29,0.820496857,1.035233021
0,30,0.822495818,1.068817377
0,31,0.832949579,1.028905272
0,32,0.808409333,0.997944772
0,33,0.799767315,1.022403955
0,34,0.844658017,1.05784142
0,35,0.839207351,1.056068063
0,36,0.798879504,1.065967679
0,37,0.80596453,1.055786252
0,38,0.810061932,1.052575231
0,39,0.826368928,1.027799487
0,40,0.811075628,1.053285122
0,41,0.771541476,1.005343437
0,42,0.784366429,1.006150126
0,43,0.844122887,1.007638454
0,44,0.779840291,0.99991405
0,45,0.817855895,1.001203537
0,46,0.797750473,1.0421983
0,47,0.771165431,1.054287076
0,48,0.778429151,1.041652083
0,49,0.824545979,1.034028172
0,50,0.837464273,0.976010382
0,51,0.795294166,1.011151195
0,52,0.78729254,0.982253313
0,53,0.768936515,0.996712267
0,54,0.77930373,0.968888164
0,55,0.808118582,0.966711223
0,56,0.782882154,1.008170724
0,57,0.715464234,0.978734791
0,58,0.789883018,1.008538723
0,59,0.767926812,1.025037169
0,60,0.771170378,0.993026793
0,61,0.815621197,0.975110531
0,62,0.787240267,0.932409525
0,63,0.740974486,0.970352113
0,64,0.762824953,0.957200348
0,65,0.785063744,0.98331064
0,66,0.739244521,0.942899823
0,67,0.735816538,0.948442757
0,68,0.715473771,0.917369962
0,69,0.772651255,0.93574816
0,70,0.739841938,0.952719867
0,71,0.742420435,0.940453827
0,72,0.703285635,0.942251861
0,73,0.716289878,0.920981944
0,74,0.727120757,0.91486609
0,75,0.688690484,0.950296581
0,76,0.773033142,0.927065611
0,77,0.747572005,0.940002799
0,78,0.755504966,0.892793953
0,79,0.740143597,0.871246755
0,80,0.713974059,0.87283498
0,81,0.711948991,0.842802823
0,82,0.737692952,0.873843551
0,83,0.740841091,0.896297276
0,84,0.727518141,0.849336803
0,85,0.653491735,0.871877909
0,86,0.678304493,0.849767923
0,87,0.679694057,0.862088084
0,88,0.687587023,0.858824849
0,89,0.695867777,0.855533481
0,90,0.666821837,0.834456265
0,91,0.628785133,0.826940775
0,92,0.657630801,0.825854659
0,93,0.653109193,0.840821922
0,94,0.669552088,0.858526886
0,95,0.69205755,0.782697737
0,96,0.627544641,0.80979234
0,97,0.660896063,0.841937125
0,98,0.632574499,0.853444576
0,99,0.626778007,0.827422976
0,100,0.634770274,0.816340983
0,101,0.607061386,0.811172843
0,102,0.66195327,0.793433309
0,103,0.626021922,0.761968017
0,104,0.677509964,0.74357295
0,105,0.637459695,0.800048947
0,106,0.666256964,0.742682159
0,107,0.644901752,0.725024462
0,108,0.579812407,0.771558285
0,109,0.599201739,0.748396039
0,110,0.587590396,0.727600992
0,111,0.579519153,0.797670007
0,112,0.599211931,0.739475429
0,113,0.621170878,0.735424221
0,114,0.630963445,0.730292499
0,115,0.613805652,0.770637095
0,116,0.577064574,0.742064893
0,117,0.562228203,0.758035421
0,118,0.591021776,0.879950345
0,119,0.546079457,0.838749349
0,120,0.602360368,0.775025845
0,121,0.576447725,0.810587108
0,122,0.598254085,0.784220338
0,123,0.540425241,0.745635569
0,124,0.52099067,0.728005826
0,125,0.56665796,0.695449293
0,126,0.566817522,0.757166862
0,127,0.576381922,0.750699818
0,128,0.524781048,0.708104014
0,129,0.515910029,0.682477713
0,130,0.560265899,0.686964631
0,131,0.546401501,0.743893683
0,132,0.511642218,0.709171593
0,133,0.527932167,0.726122677
0,134,0.512649357,0.745942056
0,135,0.589026928,0.667387664
0,136,0.505373597,0.698025346
0,137,0.49975118,0.677479267
0,138,0.531063318,0.628974438
0,139,0.587003469,0.621838629
0,140,0.532883346,0.657076895
0,141,0.544430315,0.652001739
0,142,0.540034413,0.668832242
0,143,0.519137144,0.612208009
0,144,0.535541832,0.629215837
0,145,0.507028639,0.669117272
0,146,0.531690657,0.642828524
0,147,0.533585966,0.618475497
0,148,0.50515765,0.655656636
0,149,0.493360996,0.621841252
0,150,0.491074175,0.677510858
0,151,0.52410835,0.653061509
0,152,0.462902993,0.622866035
0,153,0.493823558,0.62685281
0,154,0.470426917,0.665468276
0,155,0.497197479,0.610224962
0,156,0.48091802,0.645087659
0,157,0.516062021,0.60849154
0,158,0.515416861,0.669623733
0,159,0.468901843,0.617681563
0,160,0.497759193,0.608514965
0,161,0.495381027,0.612629533
0,162,0.469811112,0.628676593
0,163,0.476092547,0.57460165
0,164,0.470439464,0.599087059
0,165,0.496204197,0.552020848
0,166,0.430509061,0.645606041
0,167,0.434070319,0.561021209
0,168,0.436793685,0.603017449
0,169,0.453298926,0.591050863
0,170,0.486536294,0.599723995
0,171,0.469893068,0.593088329
0,172,0.474366218,0.59072721
0,173,0.505728722,0.636235058
0,174,0.475120962,0.596009254
0,175,0.484670013,0.677451551
0,176,0.461918682,0.603662431
0,177,0.449038208,0.580467403
0,178,0.44048062,0.599812686
0,179,0.422965944,0.631660283
0,180,0.455364585,0.611181021
0,181,0.432021052,0.571243763
0,182,0.417269498,0.666536152
0,183,0.440417826,0.60064435
0,184,0.450880915,0.610750437
0,185,0.430494279,0.574372947
0,186,0.464353293,0.592224181
0,187,0.435241371,0.583244026
0,188,0.442086488,0.572809935
0,189,0.464960545,0.59613806
0,190,0.431639582,0.557266653
0,191,0.430403233,0.590409577
0,192,0.422513872,0.611627698
0,193,0.444798172,0.604456007
0,194,0.439923823,0.618493795
0,195,0.418376386,0.584167063
0,196,0.449572593,0.603776693
0,197,0.387107491,0.622315347
0,198,0.414284408,0.604662836
0,199,0.398305029,0.611604333
0,200,0.416980326,0.614927411
0,201,0.423939526,0.584691107
0,202,0.408879966,0.595786273
0,203,0.412122458,0.651513338
0,204,0.419537067,0.605390787
0,205,0.426291794,0.597034633
0,206,0.400833756,0.602503717
0,207,0.394189596,0.659237623
0,208,0.407762647,0.67336905
0,209,0.401315123,0.578172505
0,210,0.423665375,0.677642763
0,211,0.403538495,0.620500803
0,212,0.41972357,0.617734313
0,213,0.382292926,0.571358263
0,214,0.401154697,0.619526088
0,215,0.41374889,0.611762464
0,216,0.409723192,0.638284862
0,217,0.409695685,0.64385438
0,218,0.411614329,0.618671417
0,219,0.398720026,0.597466409
0,220,0.390551686,0.647151649
0,221,0.367287725,0.625447214
0,222,0.435267985,0.650566936
0,223,0.423262507,0.611717761
0,224,0.392528117,0.605311155
0,225,0.375465393,0.641473949
0,226,0.404254466,0.601188958
0,227,0.396825492,0.633041561
0,228,0.386069894,0.626989305
0,229,0.382475436,0.572666347
0,230,0.363063633,0.606293201
0,231,0.363559663,0.614014804
0,232,0.35976997,0.561029613
0,233,0.382048339,0.624579191
0,234,0.397127569,0.703954935
0,235,0.398535699,0.632848978
0,236,0.36371544,0.647764683
0,237,0.368646711,0.599345148
0,238,0.41209808,0.568703592
0,239,0.413501531,0.687459826
0,240,0.369582444,0.597195625
0,241,0.386512935,0.589141071
0,242,0.38692382,0.570322871
0,243,0.364911973,0.60523665
0,244,0.367103547,0.64193666
0,245,0.353437901,0.607787669
0,246,0.344759464,0.651678622
0,247,0.381864876,0.608878791
0,248,0.39229086,0.592675388
0,249,0.367824376,0.601032734
0,250,0.360384345,0.621148288
0,251,0.356208384,0.606524408
0,252,0.387900501,0.622329652
0,253,0.384803772,0.601092935
0,254,0.353606522,0.602529883
0,255,0.345839888,0.592385292
0,256,0.355135441,0.63770622
0,257,0.393477917,0.619906664
0,258,0.389559269,0.64912051
0,259,0.364900649,0.598331988
0,260,0.367141277,0.660384715
0,261,0.368286371,0.596491098
0,262,0.359724939,0.637258589
0,263,0.346884608,0.625005662
0,264,0.353776008,0.665115952
0,265,0.36713326,0.566046476
0,266,0.34915188,0.604277372
0,267,0.372985691,0.601996243
0,268,0.354540646,0.612849832
0,269,0.351909965,0.620308459
0,270,0.376273334,0.597945273
0,271,0.361941367,0.614451885
0,272,0.36398384,0.588472545
0,273,0.356442362,0.626260459
0,274,0.344909698,0.653596938
0,275,0.358951598,0.654842079
0,276,0.3711541,0.641075909
0,277,0.335575074,0.61220026
0,278,0.342788696,0.643780708
0,279,0.372047991,0.59779799
0,280,0.356060803,0.56447953
0,281,0.3746759,0.677334785
0,282,0.339280546,0.570267856
0,283,0.345191807,0.56517905
0,284,0.336123139,0.60877949
0,285,0.354501635,0.608193815
0,286,0.354736775,0.60925138
0,287,0.341470212,0.684311628
0,288,0.343087167,0.626310647
0,289,0.368135512,0.668115377
0,290,0.363292545,0.594996989
0,291,0.32267195,0.614496827
0,292,0.30426544,0.652950644
0,293,0.337041289,0.616507888
0,294,0.351403832,0.572031736
0,295,0.356764108,0.598139882
0,296,0.335503429,0.609350979
0,297,0.324895561,0.626323164
0,298,0.293478042,0.565421581
0,299,0.367847592,0.625481069
0,300,0.340110421,0.615016222
0,301,0.352254212,0.614880621
0,302,0.325593293,0.627889395
0,303,0.348402768,0.626887381
0,304,0.319498241,0.580180824
0,305,0.307223618,0.604581237
0,306,0.328680128,0.654540718
0,307,0.345422894,0.661345899
0,308,0.336631119,0.644111097
0,309,0.327587336,0.607242465
0,310,0.307512462,0.662260413
0,311,0.355811685,0.675632775
0,312,0.32466647,0.639611244
0,313,0.335438997,0.620343089
0,314,0.310102582,0.635472894
0,315,0.351695359,0.651699781
0,316,0.311518162,0.595595896
0,317,0.305224359,0.642804146
0,318,0.324095905,0.65925771
0,319,0.323980451,0.614703834
0,320,0.334817946,0.710300386
0,321,0.325388014,0.668601394
0,322,0.3071132,0.699969471
0,323,0.321450531,0.583616972
0,324,0.309725732,0.636124551
0,325,0.329075098,0.670286477
0,326,0.32871604,0.639844596
0,327,0.322740614,0.620746791
0,328,0.295359015,0.640814424
0,329,0.317662418,0.6552248
0,330,0.34161213,0.638821244
0,331,0.307098031,0.684199154
0,332,0.329339951,0.668300807
0,333,0.294251472,0.611455202
0,334,0.33844161,0.697104692
0,335,0.328185618,0.580780387
0,336,0.319459617,0.619196177
0,337,0.300730497,0.692424834
0,338,0.328921586,0.591062486
0,339,0.325493306,0.635332644
0,340,0.308303893,0.666219831
0,341,0.30542013,0.648537099
0,342,0.318608701,0.680599689
0,343,0.322038561,0.596775353
0,344,0.321479529,0.630325139
0,345,0.289050192,0.669591308
0,346,0.315874994,0.693051398
0,347,0.322755992,0.669341266
0,348,0.330730766,0.652646303
0,349,0.343158752,0.598327458
0,350,0.318450123,0.641911089
0,351,0.29524374,0.633918226
0,352,0.28852722,0.687773347
0,353,0.294686615,0.657911122
0,354,0.296711922,0.652032077
0,355,0.312645555,0.705772817
0,356,0.318381608,0.675191283
0,357,0.305317342,0.670404077
0,358,0.302220613,0.704292655
0,359,0.294308901,0.634745836
0,360,0.31536746,0.67329073
0,361,0.298687905,0.663748562
0,362,0.317966253,0.660016239
0,363,0.303365588,0.63727957
0,364,0.301153958,0.668046057
0,365,0.306099355,0.674514592
0,366,0.289329708,0.645023704
0,367,0.320024133,0.625237942
0,368,0.302022457,0.613322079
0,369,0.315903246,0.624335229
0,370,0.317675054,0.692662001
0,371,0.294618666,0.629045248
0,372,0.30777806,0.667062521
0,373,0.338346213,0.680191457
0,374,0.297598988,0.659113824
0,375,0.295906633,0.66752404
0,376,0.297630519,0.748234153
0,377,0.323375106,0.640306413
0,378,0.286923379,0.591397643
0,379,0.306404799,0.65693891
0,380,0.293891042,0.649398804
0,381,0.295482963,0.661488771
0,382,0.302472293,0.720613599
0,383,0.334502488,0.694069445
0,384,0.281744003,0.663738072
0,385,0.287467331,0.61672169
0,386,0.296273619,0.659532785
0,387,0.310650826,0.654901624
0,388,0.293040603,0.71894151
0,389,0.302048296,0.67970866
0,390,0.336424768,0.687465072
0,391,0.305752993,0.645432532
0,392,0.3118653,0.653234124
0,393,0.308306992,0.687603712
0,394,0.290351897,0.67442292
0,395,0.307977587,0.64863199
0,396,0.292042136,0.652552962
0,397,0.306478947,0.60683918
0,398,0.303177506,0.641705334
0,399,0.301302046,0.670216441
0,400,0.315084159,0.686799824
0,401,0.289114952,0.656645358
0,402,0.294186085,0.63419199
0,403,0.294181406,0.689964294
0,404,0.283605337,0.681946754
0,405,0.317182094,0.645372868
0,406,0.304947019,0.626448333
0,407,0.28648138,0.664147973
0,408,0.281917751,0.626642108
0,409,0.273970246,0.631856382
0,410,0.261561334,0.636125207
0,411,0.334511459,0.626141012
0,412,0.317744017,0.630722404
0,413,0.288662642,0.663155317
0,414,0.287178814,0.648603261
0,415,0.273050159,0.705739856
0,416,0.295706838,0.629718304
0,417,0.317991704,0.617061317
0,418,0.296548992,0.600494802
0,419,0.284287602,0.611858845
0,420,0.283017397,0.666987479
0,421,0.278328806,0.683597267
0,422,0.280355811,0.654915273
0,423,0.279998422,0.642161012
0,424,0.293218493,0.646750152
0,425,0.275014818,0.612275064
0,426,0.283118159,0.66501236
0,427,0.281598568,0.629922271
0,428,0.269532382,0.695969582
0,429,0.266276956,0.701231956
0,430,0.291460991,0.690121472
0,431,0.316437125,0.641629696
0,432,0.27001214,0.697859764
0,433,0.30477789,0.653502285
0,434,0.291920394,0.60601145
0,435,0.278756291,0.620104194
0,436,0.256191254,0.600096703
0,437,0.258705705,0.626594245
0,438,0.264147639,0.610595644
0,439,0.297477573,0.656941414
0,440,0.283483535,0.595121264
0,441,0.267906547,0.647190928
0,442,0.292314947,0.641468227
0,443,0.288405895,0.665122628
0,444,0.266382694,0.663018525
0,445,0.257382601,0.715332627
0,446,0.284821093,0.557274699
0,447,0.28616029,0.63239038
0,448,0.270001471,0.68932718
0,449,0.277208716,0.748285055
0,450,0.277828962,0.599017501
0,451,0.292032301,0.634937763
0,452,0.296964109,0.712982118
0,453,0.2846995,0.692729235
0,454,0.290743351,0.645788789
0,455,0.293983132,0.615465343
0,456,0.273846418,0.633517444
0,457,0.272407562,0.678559124
0,458,0.242595881,0.705481291
0,459,0.284747601,0.652253985
0,460,0.271026701,0.659378767
0,461,0.268164754,0.634484649
0,462,0.283539176,0.636992812
0,463,0.284136832,0.708193839
0,464,0.266365469,0.641596019
0,465,0.289174199,0.652256131
0,466,0.267600536,0.685585201
0,467,0.291633666,0.645424068
0,468,0.288025588,0.678036749
0,469,0.272058398,0.694636524
0,470,0.268408388,0.661388516
0,471,0.269426525,0.74002409
0,472,0.279183269,0.667532504
0,473,0.258054376,0.688538194
0,474,0.249053583,0.6877985
0,475,0.278658479,0.672966421
0,476,0.296882957,0.689692438
0,477,0.253106683,0.632444084
0,478,0.282053053,0.70233494
0,479,0.289160103,0.679969192
0,480,0.278260618,0.661790192
0,481,0.251232803,0.619735777
0,482,0.281916618,0.655595124
0,483,0.268442214,0.690900564
0,484,0.268278271,0.716523111
0,485,0.273251534,0.719131529
0,486,0.249868393,0.684517503
0,487,0.300842881,0.672030568
0,488,0.260794312,0.710558414
0,489,0.26646024,0.638803244
0,490,0.257604063,0.624529839
0,491,0.264869958,0.678000987
0,492,0.289218247,0.660652995
0,493,0.266188711,0.617078185
0,494,0.27102828,0.653277397
0,495,0.29876107,0.672953963
0,496,0.259472668,0.633304536
0,497,0.262012422,0.639389992
0,498,0.283579409,0.651904047
0,499,0.26556018,0.678108096
0,500,0.268669397,0.695217133
