train,train_predict,test,test_predict
252.0,[245.36835],256.4,[250.0676]
200.0,[255.76048],236.9,[250.99902]
192.0,[216.7176],22.0,[99.59728]
256.85,[203.08012],290.0,[263.21594]
273.0,[255.76048],250.0,[256.81906]
309.9,[260.01102],182.3,[225.62532]
236.8,[241.8863],143.0,[159.55019]
225.0,[255.76048],295.0,[243.69952]
236.7,[218.3263],161.0,[148.61357]
170.0,[162.85857],164.0,[105.25441]
210.2,[227.85025],250.0,[250.32149]
152.6,[194.47676],232.0,[256.77588]
164.0,[167.11693],250.2,[287.71518]
280.0,[272.8941],222.0,[216.135]
234.0,[228.8057],150.0,[167.11693]
201.0,[247.89299],148.0,[134.5895]
193.2,[196.76091],285.8,[169.96262]
235.0,[271.20422],256.0,[263.45407]
275.8,[258.11902],246.5,[255.32025]
59.0,[74.802284],252.0,[256.06543]
247.5,[245.0709],293.0,[265.47433]
120.0,[158.09811],210.0,[201.77164]
270.0,[271.0267],280.0,[218.33743]
275.6,[241.1079],218.2,[269.64334]
280.7,[242.42793],307.9,[255.76048]
262.6,[200.49898],267.5,[247.53468]
251.76,[245.0709],278.0,[264.72202]
169.0,[157.22148],267.52,[198.0734]
234.2,[255.76048],285.6,[223.11157]
148.32,[203.08012],258.3,[243.0488]
276.0,[257.4806],298.1,[271.68854]
249.8,[270.774],290.1,[272.8941]
247.3,[243.69952],250.0,[243.69952]
250.0,[262.84665],311.0,[281.42865]
201.0,[247.89299],178.0,[152.10107]
240.0,[249.30672],296.2,[298.9641]
140.6,[201.26765],245.4,[255.76048]
90.19999999999999,[201.26765],228.0,[164.49199]
296.7,[265.65805],285.0,[269.07346]
254.0,[258.25818],225.0,[200.49898]
255.0,[268.39148],253.9,[236.30943]
208.8512348,[235.42787],256.0,[211.41504]
268.0,[248.95116],164.0,[160.57338]
256.9,[275.84735],292.1,[233.93437]
164.0,[160.57338],238.0,[241.8863]
189.3,[207.8872],198.0,[230.75816]
260.0,[248.20877],225.0,[201.37337]
237.5,[235.08643],220.0,[199.91115]
276.0,[257.4806],238.6,[250.38354]
93.5,[140.7856],225.0,[251.07883]
250.0,[255.76048],242.0,[257.96432]
