train,train_predict,test,test_predict
252.0,[250.98354],256.4,[250.64359]
200.0,[256.23672],236.9,[252.82913]
192.0,[213.961],22.0,[118.960495]
256.85,[199.6965],290.0,[220.11333]
273.0,[256.23672],250.0,[221.40715]
309.9,[246.01726],182.3,[238.88763]
236.8,[226.09169],143.0,[149.57883]
225.0,[256.23672],295.0,[259.2676]
236.7,[227.43585],161.0,[158.45686]
170.0,[161.09268],164.0,[131.37782]
210.2,[238.09158],250.0,[268.39706]
152.6,[193.69717],232.0,[256.6441]
164.0,[167.53246],250.2,[296.61194]
280.0,[284.05145],222.0,[189.57869]
234.0,[229.40337],150.0,[167.53246]
201.0,[248.57503],148.0,[155.14636]
193.2,[203.09425],285.8,[143.96504]
235.0,[260.4362],256.0,[209.17259]
275.8,[257.66028],246.5,[224.18398]
59.0,[78.58178],252.0,[256.93353]
247.5,[251.01912],293.0,[275.28787]
120.0,[137.55179],210.0,[244.92378]
270.0,[251.54251],280.0,[195.04851]
275.6,[261.71133],218.2,[235.64583]
280.7,[245.00917],307.9,[256.23672]
262.6,[202.96634],267.5,[228.98495]
251.76,[251.01912],278.0,[301.05826]
169.0,[158.28075],267.52,[208.5912]
234.2,[256.23672],285.6,[224.7611]
148.32,[199.6965],258.3,[239.24472]
276.0,[249.92894],298.1,[168.75931]
249.8,[283.5862],290.1,[284.05145]
247.3,[259.2676],250.0,[259.2676]
250.0,[258.9763],311.0,[256.15195]
201.0,[248.57503],178.0,[155.46165]
240.0,[240.8192],296.2,[304.62262]
140.6,[202.78479],245.4,[256.23672]
90.19999999999999,[202.78479],228.0,[200.08858]
296.7,[286.83234],285.0,[261.5686]
254.0,[246.73434],225.0,[202.96634]
255.0,[281.59097],253.9,[231.11401]
208.8512348,[218.75761],256.0,[257.45178]
268.0,[245.09761],164.0,[159.93596]
256.9,[263.27905],292.1,[223.84969]
164.0,[159.93596],238.0,[226.09169]
189.3,[203.55034],198.0,[250.0803]
260.0,[276.23865],225.0,[213.61458]
237.5,[235.87315],220.0,[185.29662]
276.0,[249.92896],238.6,[254.97383]
93.5,[119.252975],225.0,[238.45491]
250.0,[256.23672],242.0,[227.1182]
288.6,[256.97168],273.0,[256.23672]
292.6,[263.27905],291.0,[262.10376]
300.5,[283.58624],160.0,[159.47119]
257.43,[271.10318],263.9,[245.78403]
274.0,[266.77792],,
280.0,[295.26462],,
224.6,[214.6072],,
109.00000000000001,[193.61649],,
175.0,[183.80142],,
236.1,[250.62657],,
298.1,[286.98557],,
256.4,[250.6436],,
249.0,[239.56929],,
260.0,[246.92625],,
251.7,[268.39706],,
228.0,[221.10103],,
225.0,[233.45108],,
249.9,[251.01912],,
237.4,[256.23672],,
120.0,[151.37999],,
159.0,[149.57883],,
291.0,[250.20514],,
209.8,[227.43585],,
223.8,[221.68404],,
260.0,[273.55438],,
163.0,[157.95984],,
210.0,[233.45108],,
306.0,[298.9197],,
245.8,[244.43948],,
120.0,[126.46724],,
228.7,[246.10086],,
277.3,[252.1428],,
290.0,[302.24112],,
260.0,[248.09784],,
125.0,[137.56786],,
250.8,[270.8415],,
225.0,[219.52443],,
130.3,[135.56645],,
325.0,[271.10318],,
184.0,[191.66318],,
269.1,[290.5456],,
155.1,[158.86876],,
161.0,[155.46165],,
250.0,[276.64972],,
276.0,[286.58838],,
290.0,[250.20514],,
262.0,[270.27615],,
275.6,[269.9864],,
250.0,[272.4325],,
272.7,[205.17685],,
264.6,[227.43585],,
237.0,[246.44678],,
289.7,[270.72104],,
195.0,[198.0693],,
250.0,[249.92896],,
230.0,[229.42426],,
261.3,[248.76526],,
260.8,[255.8569],,
190.0,[179.2888],,
210.0,[217.90625],,
232.0,[257.03268],,
275.0,[249.92896],,
231.2,[262.24146],,
267.0,[270.3023],,
150.0,[167.44861],,
302.0,[280.31628],,
82.1,[202.78479],,
244.0,[235.40244],,
235.5,[246.29274],,
273.3,[274.00082],,
234.0,[209.04213],,
279.4,[253.69029],,
