train,train_predict,test,test_predict
158.5,[155.34198],152.7,[155.87053]
183.6,[180.73389],159.5,[159.42857]
182.9,[176.44574],161.1,[157.73868]
186.6,[182.18373],168.0,[169.48416]
160.7,[156.58401],204.3,[202.40686]
176.7,[172.01675],173.3,[175.66805]
185.1,[180.38213],183.3,[183.64777]
161.1,[160.90417],183.8,[185.72166]
191.4,[186.58943],189.1,[195.83969]
173.7,[172.62337],168.8,[170.73347]
151.6,[152.23587],193.2,[193.98615]
202.2,[193.87505],171.8,[171.1283]
165.9,[161.92859],161.4,[157.90886]
182.4,[180.93347],199.4,[208.78047]
166.5,[173.85785],157.8,[162.09227]
171.1,[159.71756],158.2,[164.88661]
173.3,[165.12178],169.2,[166.54695]
154.3,[153.9689],162.4,[171.67365]
206.0,[216.73506],182.4,[185.27306]
157.1,[166.80046],184.0,[169.34529]
180.1,[173.27838],206.1,[205.833]
210.3,[216.17575],185.5,[181.18721]
160.9,[160.28433],183.8,[177.38776]
182.1,[175.05203],163.7,[169.07675]
174.5,[181.28523],167.5,[172.74376]
158.2,[153.45349],179.1,[172.04071]
155.2,[161.91957],204.8,[207.02963]
155.0,[157.81981],217.1,[221.7424]
210.7,[212.70842],199.0,[195.11359]
159.3,[160.40762],159.0,[155.31032]
177.0,[172.21237],173.0,[176.57648]
159.9,[162.52147],172.1,[167.40475]
167.2,[161.9801],194.9,[182.59677]
207.3,[210.55049],178.3,[177.90207]
171.8,[173.38258],186.7,[176.61198]
176.0,[176.50467],154.0,[155.20567]
216.0,[222.95834],169.2,[163.22588]
168.9,[178.49875],186.1,[194.45923]
164.5,[160.51134],189.4,[184.28156]
167.5,[165.77116],183.4,[183.33891]
159.7,[162.83871],204.6,[199.62267]
170.7,[165.85922],170.1,[169.79169]
220.2,[212.08391],143.5,[150.47252]
160.7,[168.12721],158.9,[169.75827]
184.8,[174.7958],203.8,[205.18892]
148.1,[149.63286],189.7,[179.35477]
171.1,[169.8235],186.1,[191.10262]
161.1,[169.58636],172.3,[175.6044]
174.8,[167.51828],185.0,[175.07457]
211.8,[206.09465],186.8,[189.02599]
184.2,[178.10278],167.1,[175.0211]
152.0,[123.81005],176.9,[171.3595]
