Li,Ni ,Co,Mn,sin_temp,sin_t,cut_off,m_temp,c_rate,Dis_cap
1,0.6,0.2,0.2,800,15,4.3,25,0.1,171.9
1,0.6,0.2,0.2,800,15,4.3,25,0.1,187.1
1,0.6,0.2,0.2,800,15,4.3,25,0.2,158.7
1,0.6,0.2,0.2,800,15,4.3,25,0.2,176.1
1,0.6,0.2,0.2,800,15,4.3,25,0.5,142.3
1,0.6,0.2,0.2,800,15,4.3,25,0.5,167.9
1,0.6,0.2,0.2,800,15,4.3,25,1,129.7
1,0.6,0.2,0.2,800,15,4.3,25,1,157.6
1,0.6,0.2,0.2,800,15,4.3,25,2,118.9
1,0.6,0.2,0.2,800,15,4.3,25,2,144.2
1,0.6,0.2,0.2,800,15,4.3,25,5,98.8
1,0.6,0.2,0.2,800,15,4.3,25,5,119.5
1,0.9,0.05,0.05,750,10,4.3,30,0.1,220.5
1,0.95,0.025,0.025,700,10,4.3,30,0.1,229.7
1,1,0,0,650,10,4.3,30,0.1,242.4
1,0.9,0.05,0.05,750,10,4.3,30,0.2,219.8
1,0.95,0.025,0.025,700,10,4.3,30,0.2,227.3
1,1,0,0,650,10,4.3,30,0.2,234.5
1,0.9,0.05,0.05,750,10,4.3,30,0.5,210.4
1,0.95,0.025,0.025,700,10,4.3,30,0.5,216.2
1,1,0,0,650,10,4.3,30,0.5,219.8
1,0.9,0.05,0.05,750,10,4.3,30,1,203.1
1,0.95,0.025,0.025,700,10,4.3,30,1,207.4
1,1,0,0,650,10,4.3,30,1,209.6
1,0.9,0.05,0.05,750,10,4.3,30,2,196.7
1,0.95,0.025,0.025,700,10,4.3,30,2,200.5
1,1,0,0,650,10,4.3,30,2,202.5
1,0.9,0.05,0.05,750,10,4.3,30,5,189.1
1,0.95,0.025,0.025,700,10,4.3,30,5,191.8
1,1,0,0,650,10,4.3,30,5,194.9
1,0.9,0.05,0.05,750,10,4.3,55,0.5,249.38
1,0.95,0.025,0.025,700,10,4.3,55,0.5,238.9
1,1,0,0,650,10,4.3,55,0.5,227.2
1,0.8,0.1,0.1,750,5,4.3,25,1,200
1,0.8,0.1,0.1,750,5,4.3,60,1,207.1
1,0.6,0.2,0.2,850,10,4.3,25,0.5,192.9
1,0.95,0.025,0.025,700,10,4.3,25,0.5,235
1,0.8,0.1,0.1,770,10,4.3,25,0.5,205.7
1,0.9,0.05,0.05,750,10,4.3,25,0.5,227.2
1,1,0,0,650,10,4.3,25,0.1,247
1,0.6,0.2,0.2,850,15,4.3,25,0.1,171
1,0.6,0.2,0.2,800,15,4.3,25,0.2,115
1,0.6,0.2,0.2,800,15,4.3,25,0.5,112
1,0.95,0.025,0.025,700,10,4.3,30,0.1,238
1,1,0,0,650,10,4.3,30,0.1,248
1,0.7,0.15,0.15,500,3,4.5,25,0.1,197.7
1,0.7,0.15,0.15,500,3,4.5,25,0.2,195.5
1,0.7,0.15,0.15,500,3,4.5,25,0.33,186.7
1,0.7,0.15,0.15,500,3,4.5,25,1,173.3
1,0.7,0.15,0.15,500,3,4.5,25,3,159.5
1,0.7,0.15,0.15,500,3,4.5,25,5,140.6
1,0.7,0.15,0.15,500,3,4.5,25,10,102.7
1,0.678,0.13,0.192,800,12,4.4,25,0.1,189.8
1,0.674,0.132,0.194,800,12,4.4,25,0.1,187.9
1,0.677,0.132,0.191,800,12,4.4,55,0.1,194.3
1,0.68,0.129,0.191,800,12,4.4,55,0.1,202.5
1,0.678,0.13,0.192,800,12,4.4,25,0.2,187.8
1,0.674,0.132,0.194,800,12,4.4,25,0.2,190.4
1,0.677,0.132,0.191,800,12,4.4,25,0.2,190.6
1,0.68,0.129,0.191,800,12,4.4,55,0.2,198
1,0.678,0.13,0.192,800,12,4.4,25,0.5,178.7
1,0.674,0.132,0.194,800,12,4.4,25,0.5,178.4
1,0.677,0.132,0.191,800,12,4.4,25,0.5,185.6
1,0.68,0.129,0.191,800,12,4.4,25,0.5,189.5
1,0.678,0.13,0.192,800,12,4.4,25,1,172.1
1,0.674,0.132,0.194,800,12,4.4,25,1,170.5
1,0.677,0.132,0.191,800,12,4.4,25,1,178.9
1,0.68,0.129,0.191,800,12,4.4,25,1,182.3
1,0.678,0.13,0.192,800,12,4.4,25,3,164.3
1,0.674,0.132,0.194,800,12,4.4,25,3,161.6
1,0.677,0.132,0.191,800,12,4.4,25,3,169.9
1,0.68,0.129,0.191,800,12,4.4,25,3,172.9
1,0.678,0.13,0.192,800,12,4.4,25,5,138.1
1,0.674,0.132,0.194,800,12,4.4,25,5,139.1
1,0.677,0.132,0.191,800,12,4.4,25,5,147.1
1,0.68,0.129,0.191,800,12,4.4,25,5,152.3
1,0.5,0.2,0.3,850,12,4.3,25,0.2,180
1,0.5,0.2,0.3,850,12,4.3,25,0.5,173.5
1,0.5,0.2,0.3,850,12,4.3,25,1,167.1
1,0.5,0.2,0.3,850,12,4.3,25,2,158.2
1,0.5,0.2,0.3,850,12,4.3,25,5,148.6
1,0.5,0.2,0.3,850,12,4.3,25,10,128.1
1,0.9,0.05,0.05,770,10,4.3,30,0.1,227
1,0.8,0.1,0.1,750,10,4.3,30,0.1,215
1,0.85,0,0.15,750,15,4.3,30,0.1,205.1
1,0.85,0.05,0.1,750,15,4.3,30,0.1,205.5
1,0.85,0.1,0.05,750,15,4.3,30,0.1,204.9
1,0.85,0.15,0,750,15,4.3,30,0.1,206
1,0.85,0,0.15,750,15,4.3,25,0.2,200.4
1,0.85,0.05,0.1,750,15,4.3,25,0.2,200.3
1,0.85,0.1,0.05,750,15,4.3,25,0.2,199.9
1,0.85,0.15,0,750,15,4.3,25,0.2,200.3
1,0.85,0,0.15,750,15,4.3,25,0.5,186.1
1,0.85,0.05,0.1,750,15,4.3,25,0.5,191.2
1,0.85,0.1,0.05,750,15,4.3,25,0.5,192
1,0.85,0.15,0,750,15,4.3,25,0.5,193.8
1,0.85,0,0.15,750,15,4.3,25,1,175.8
1,0.85,0.05,0.1,750,15,4.3,25,1,184.1
1,0.85,0.1,0.05,750,15,4.3,25,1,187.2
1,0.85,0.15,0,750,15,4.3,25,1,189.4
1,0.85,0,0.15,750,15,4.3,25,2,161.4
1,0.85,0.05,0.1,750,15,4.3,25,2,174.9
1,0.85,0.1,0.05,750,15,4.3,25,2,176.8
1,0.85,0.15,0,750,15,4.3,25,2,181
1,0.85,0,0.15,750,15,4.3,25,5,140.2
1,0.85,0.05,0.1,750,15,4.3,25,5,163.3
1,0.85,0.1,0.05,750,15,4.3,25,5,164.8
1,0.85,0.15,0,750,15,4.3,25,5,171.1
1,0.8,0.1,0.1,770,5,4.3,45,0.5,193
1,0.6,0.2,0.2,850,10,4.5,23,0.1,199
1,0.6,0.2,0.2,850,10,4.5,30,0.5,186
1,0.6,0.2,0.2,850,10,4.5,30,1,178
1,0.6,0.2,0.2,850,10,4.5,23,2,167.5
1,0.6,0.2,0.2,850,10,4.5,23,5,145
1,0.6,0.2,0.2,850,10,4.5,23,10,104.9
1,0.6,0.2,0.2,850,12,4.3,25,0.1,188
1,0.9,0.05,0.05,750,12,4.3,25,0.1,227
1,0.8,0.1,0.1,750,20,4.3,30,0.2,180
1,0.5,0.2,0.3,850,15,4.5,25,0.4,181
1,0.95,0.025,0.025,100,10,4.3,30,0.1,245
1,0.55,0.15,0.3,850,15,4.3,55,0.2,166
1,0.33,0.33,0.34,900,12,4.3,25,0.1,152
1,0.4,0.2,0.4,900,3,4.3,25,0.05,160
1,0.6,0.2,0.2,500,3,4.5,25,0.2,187.2
1,0.6,0.2,0.2,700,3,4.3,25,0.07,175
1,0.5,0.2,0.3,870,15,4.6,25,0.1,199.7
1,0.6,0.2,0.2,850,10,4.7,25,0.1,184.8
1,0.8,0.1,0.1,800,20,4.4,55,0.1,198
